id,wapuu.name,wapuu.repository,wapuu.url,wapuu.src,wapuu.mime_type,author.name,author.url,description
original-wapuupng,Wapuu,https://github.com/jawordpressorg/wapuu,https://ja.wordpress.org/,https://jawordpressorg.github.io/wapuu/wapuu-archive/original-wapuu.png,image/png,Kazuko Kaneuchi,https://twitter.com/mutsuking,Original Wapuu
tonkotsu-wapuupng,Tonkotsu Wapuu,,http://example.com/,https://jawordpressorg.github.io/wapuu/wapuu-archive/tonkotsu-wapuu.png,image/png,Kazuko Kaneuchi,https://twitter.com/mutsuking,
wck-wapuupng,WordCamp Kansai 2014,https://github.com/spicagraph/wapuu,,https://jawordpressorg.github.io/wapuu/wapuu-archive/wck-wapuu.png,image/png,Ayaka Sumida,,
wctokyo_wapuupng,WordCamp Tokyo 2014,https://github.com/WordCampTokyo2014/wapuu,,https://jawordpressorg.github.io/wapuu/wapuu-archive/wctokyo_wapuu.png,image/png,Yasushi Takemoto,,
kani-wapuupng,越前がにわぷー,https://github.com/wordbenchfukui/wapuu,,https://jawordpressorg.github.io/wapuu/wapuu-archive/kani-wapuu.png,image/png,山森美穂,,
wct2012png,WordCamp Tokyo 2012 たわぷー,,http://2012.tokyo.wordcamp.org/,https://jawordpressorg.github.io/wapuu/wapuu-archive/wct2012.png,image/png,北村 たあ,,
wct2013png,WordCamp Tokyo 2013 Kabuki Wapuu,,http://2013.tokyo.wordcamp.org/,https://jawordpressorg.github.io/wapuu/wapuu-archive/wct2013.png,image/png,Takashi Kitamura,,
takoyaki-wapuupng,たこ焼きわぷー,https://github.com/WordBenchOsaka/wapuu,,https://jawordpressorg.github.io/wapuu/wapuu-archive/takoyaki-wapuu.png,image/png,たこ焼きわぷーコントリビューターズ,,
dokuganryu-wapuupng,独眼竜わぷー,https://github.com/wbsendai/wapuu/tree/wbsendai,,https://jawordpressorg.github.io/wapuu/wapuu-archive/dokuganryu-wapuu.png,image/png,gatespace,,
onsen-wapuupng,温泉わぷー,https://github.com/wbsendai/wapuu/tree/onsen,,https://jawordpressorg.github.io/wapuu/wapuu-archive/onsen-wapuu.png,image/png,gatespace,,
shikasenbei-wapuupng,鹿せんべいわぷー,https://github.com/shinchaya/nara-wapuu,,https://jawordpressorg.github.io/wapuu/wapuu-archive/shikasenbei-wapuu.png,image/png,shinchaya,,
maikochan-and-wapuupng,舞妓ちゃん＆わぷー,https://github.com/shinchaya-01/maikochan-and-wapuu,,https://jawordpressorg.github.io/wapuu/wapuu-archive/maikochan-and-wapuu.png,image/png,shinchaya,,
scott-wapuupng,Wapuunk!,,http://london.wordcamp.org/2015/,https://jawordpressorg.github.io/wapuu/wapuu-archive/scott-wapuu.png,image/png,Scott Evans,,
rocky-wapuupng,Rocky Wapuu,,http://philly.wordcamp.org/2015/,https://jawordpressorg.github.io/wapuu/wapuu-archive/rocky-wapuu.png,image/png,Tracy Levesque,,
cheesesteak-wapuupng,Cheesesteak Wapuu,,http://philly.wordcamp.org/2015/,https://jawordpressorg.github.io/wapuu/wapuu-archive/cheesesteak-wapuu.png,image/png,Tracy Levesque,,
pretzel-wapuupng,Pretzel Wapuu,,http://philly.wordcamp.org/2015/,https://jawordpressorg.github.io/wapuu/wapuu-archive/pretzel-wapuu.png,image/png,Tracy Levesque,,
krimpet-wapuupng,Krimpuu,,http://philly.wordcamp.org/2015/,https://jawordpressorg.github.io/wapuu/wapuu-archive/krimpet-wapuu.png,image/png,Tracy Levesque,,
wapuda-shingenpng,わぷ田信玄(Shingenn Wapuda),https://github.com/natsumiine/wb_yamanashi,,https://jawordpressorg.github.io/wapuu/wapuu-archive/wapuda-shingen.png,image/png,natsumiine,,
wapuunderpng,Wapuunder,,https://brisbane.wordcamp.org/2015/,https://jawordpressorg.github.io/wapuu/wapuu-archive/wapuunder.png,image/png,Kristen Symonds,,
wapuujlopng,Wapuujlo,https://github.com/Kouteki/Wapuujlo/,,https://jawordpressorg.github.io/wapuu/wapuu-archive/wapuujlo.png,image/png,Nemanja Aleksic,,
wapuu-francepng,Marcel,https://github.com/BoiteAWeb/wapuu,,https://jawordpressorg.github.io/wapuu/wapuu-archive/wapuu-france.png,image/png,Julio Potier (design),,
WapuuPepapng,WapuuPepa,,https://europe.wordcamp.org/2015/,https://jawordpressorg.github.io/wapuu/wapuu-archive/WapuuPepa.png,image/png,Arantza Respaldiza,,
WapuuPepepng,WapuuPepe,,https://europe.wordcamp.org/2015/,https://jawordpressorg.github.io/wapuu/wapuu-archive/WapuuPepe.png,image/png,Arantza Respaldiza,,
wapuushkin-wapuupng,Wapuushkin,,https://russia.wordcamp.org/2015/,https://jawordpressorg.github.io/wapuu/wapuu-archive/wapuushkin-wapuu.png,image/png,Natalia Spivak,,
sydney-wapuupng,Sydney Wapuu,https://github.com/raoulwegat/wapuu,,https://jawordpressorg.github.io/wapuu/wapuu-archive/sydney-wapuu.png,image/png,Raoul Wegat,,
manchester-wapuupng,Wapuubee!,,https://manchester.wordcamp.org/2015/,https://jawordpressorg.github.io/wapuu/wapuu-archive/manchester-wapuu.png,image/png,Andi Wilkinson,,
tampa-gasparilla-wapuupng,Gaspwapuua,,https://tampa.wordcamp.org/,https://jawordpressorg.github.io/wapuu/wapuu-archive/tampa-gasparilla-wapuu.png,image/png,Travis Seitler,,
basile-wapuupng,Basile,,http://2015.wptech.fr/basile-wapuu-wptech/,https://jawordpressorg.github.io/wapuu/wapuu-archive/basile-wapuu.png,image/png,Willy Bahuaud,,
mineiro-wapuupng,Mineiro,,https://belohorizonte.wordcamp.org/,https://jawordpressorg.github.io/wapuu/wapuu-archive/mineiro-wapuu.png,image/png,Rodrigo Brito,,
shachihoko-wapuupng,WordFes 2013 しゃちほこわぷー,,http://2013.wordfes.org/,https://jawordpressorg.github.io/wapuu/wapuu-archive/shachihoko-wapuu.png,image/png,うなＱ,,
fes-wapuupng,WordFes 2014 フェスわぷー,,http://2014.wordfes.org/,https://jawordpressorg.github.io/wapuu/wapuu-archive/fes-wapuu.png,image/png,うなＱ,,
matsuri-wapuupng,WordFes 2015 祭りわぷー,,http://2015.wordfes.org/,https://jawordpressorg.github.io/wapuu/wapuu-archive/matsuri-wapuu.png,image/png,うなＱ,,
wapuu-der-berpng,Wapuu der BER,,https://berlin.wordcamp.org/2015/,https://jawordpressorg.github.io/wapuu/wapuu-archive/wapuu-der-ber.png,image/png,Martin Purrer,,
